url,true_label,pred
https://github.com/scikit-learn/scikit-learn,0,0
https://www.mozilla.org/en-US/firefox/new/,0,0
https://stri0e-gjib-secure.online/login/verify?next=y3pbz0xl,1,1
https://update-verify-ynoyl.xyz/secure?s=mkfsvjl73k,1,1
https://wellsfarrno-909w-secure.info/login/verify?next=90ka5uvu,1,1
https://docs.python.org/3/,0,0
https://www.wikipedia.org/wiki/Main_Page,0,0
http://secure.www.micro1oft.online/signin/secure,1,1
https://stackoverflow.com/questions/tagged/python,0,0
http://noreply@chase-verify.info/account/update,1,1
