url,label
"https://ieee.org/search?q=test",0
"http://bankofamerrnca-verify.click/confirm-identity",1
"http://microsoft.com/contact?ref=185",0
"https://github.com/user/login",0
"http://kernel.org/download",0
"http://microsoft.com/about?ref=685",0
"https://microsoft.com/docs",0
"http://noreply@google-verify.icu/login.html",1
"http://bankofarnerica-secure.icu/update-payment",1
"https://paylal-verify.click/paypal-login",1
"http://secure@paypal-verify.com/login.html",1
"http://secure@chase-verify.com/login.html",1
"https://nginx.org/pull/100",0
"https://debian.org/pull/100",0
"https://mozilla.org",0
"http://confirmidentity.chas38.icu/secure?session=qfmkfnnl",1
"https://bbc.co.uk/releases/tag/v1.0",0
"http://netflix-login.icu/banking-secure",1
"https://ama1on-login.com/verify-account",1
"http://npmjs.com/contact",0
"https://nginx.org",0
"https://rust-lang.org/issues/42",0
"https://auth.pa0pal.site/verify",1
"https://facebo0k-login.net/banking-secure",1
"http://mozilla.org/releases/tag/v1.0",0
"https://nginx.org/wiki/Main_Page?ref=208",0
"https://mit.edu/about",0
"https://arxiv.org/download?ref=117",0
"http://23.64.69.4/login",1
"https://kernel.org/search?q=test",0
"https://gnu.org/contact",0
"http://cha1e-secure.icu/confirm-identity",1
"https://microsoft.com/search?q=test",0
"http://nodejs.org/contact",0
"https://stanford.edu/pull/100",0
"http://google.com/blog/post",0
"https://amrnzon-login.com/verify-account",1
"https://kernel.org",0
"http://crnase-secure.xyz/auth-verify",1
"https://ieee.org/issues/42",0
"https://amazon.com/issues/42",0
"http://www.secure.nelflix.top/account/update",1
"https://pypi.org/contact",0
"http://user@netflix-verify.online/login.html",1
"http://updatepayment.well11.top/verify?session=28ditmow",1
"https://nginx.org/search?q=test",0
"https://google.com/blog/post?ref=795",0
"http://nature.com/download",0
"http://171.168.119.80/login",1
"https://login.auth.account.banko1america.icu/verify",1
"http://kernel.org/issues/42",0
"https://python.org/blog/post?ref=781",0
"https://nginx.org/search?q=test",0
"https://mit.edu/pull/100?ref=374",0
"https://signin.banko1america.online/verify",1
"https://arxiv.org/user/login",0
"https://nodejs.org/wiki/Main_Page?ref=600",0
"http://springer.com/user/login",0
"https://confirmidentity.appl58.net/secure?session=mzso6axu",1
"http://noreply@google-verify.net/login.html",1
"http://user@paypal-verify.icu/login.html",1
"https://gnu.org/blog/post?ref=855",0
"http://readthedocs.io/download",0
"https://kernel.org/about",0
"https://github.com/docs",0
"http://grnogle-secure.click/verify-account",1
"https://rust-lang.org/issues/42",0
"http://python.org/about",0
"https://auth.ap1le.xyz/signin",1
"https://mozilla.org/pull/100?ref=572",0
"http://blnkofamerica-secure.online/secure-login",1
"https://gnu.org/contact?ref=965",0
"http://148.7.242.50/login",1
"http://user@microsoft-verify.icu/login.html",1
"https://pypi.org/docs?ref=7",0
"http://springer.com/user/login?ref=999",0
"http://github.com/user/login?ref=461",0
"https://python.org/search?q=test",0
"http://132.101.56.189/login",1
"https://npmjs.com/blog/post?ref=374",0
"http://bankingsecure.netf61.click/login?session=5vyfrrlo",1
"http://account.charne.online/signin",1
"http://glogle-secure.icu/confirm-identity",1
"http://bankofamelica-login.icu/signin-secure",1
"http://securelogin.netf74.online/secure?session=2xlvb9hx",1
"http://python.org/pull/100",0
"https://reuters.com/releases/tag/v1.0",0
"https://debian.org/about",0
"https://cloudflare.com/user/login",0
"http://user@microsoft-verify.site/login.html",1
"http://65.70.179.225/login",1
"http://188.50.78.166/login",1
"https://microsoft.com/user/login",0
"https://mit.edu/releases/tag/v1.0",0
"https://kernel.org/releases/tag/v1.0?ref=584",0
"https://confirmidentity.appl28.com/verify?session=4hetvj0p",1
"http://mobile.signin.www.ne1flix.icu/verify",1
"http://noreply@microsoft-verify.top/login.html",1
"http://milrosoft-login.online/update-payment",1
"https://springer.com/releases/tag/v1.0",0
"https://mozilla.org/releases/tag/v1.0?ref=586",0
"https://login.w1llsfargo.top/account/update",1
"https://mit.edu/docs",0
"https://bbc.co.uk/pull/100",0
"https://verify.www.auth.c1ase.site/account/update",1
"https://npmjs.com/about",0
"http://nature.com/issues/42",0
"http://bbc.co.uk/releases/tag/v1.0",0
"http://goog1e-verify.com/banking-secure",1
"https://verify.account.signin.app0e.click/account/update",1
"https://stackoverflow.com/pull/100",0
"http://grnogle-login.icu/banking-secure",1
"http://nature.com/pull/100?ref=238",0
"https://bbc.co.uk/issues/42",0
"http://user@apple-verify.net/login.html",1
"http://readthedocs.io/user/login",0
"https://springer.com/search?q=test",0
"https://stanford.edu/user/login?ref=739",0
"http://nature.com/about",0
"http://bbc.co.uk/download?ref=180",0
"http://c0ase-verify.site/signin-secure",1
"http://197.220.141.120/login",1
"https://medium.com/about",0
"http://apache.org/issues/42",0
"http://verifyaccount.well73.com/login?session=xfx3at25",1
"https://cloudflare.com/search?q=test",0
"http://apple.com",0
"https://m.goog0e.icu/signin",1
"http://stanford.edu/docs?ref=677",0
